0.995669;79;oven;rgb(109 60 3);[(185.02101, 709.5068), (349.92612, 924.97424)]
0.9839346;62;chair;rgb(1 41 83);[(982.75586, 895.5877), (1313.7028, 1258.4102)]
0.9795442;62;chair;rgb(28 8 3);[(475.02377, 1007.9865), (895.23676, 1275.6312)]
0.97751516;86;vase;rgb(125 26 14);[(1471.4906, 548.7536), (1509.9607, 621.6299)]
0.9727851;62;chair;rgb(61 35 64);[(1049.7217, 691.4741), (1101.8508, 790.4689)]
0.9600584;62;chair;rgb(50 89 19);[(445.42804, 797.89764), (637.22064, 1008.89026)]
0.9093543;67;dining table;rgb(9 48 53);[(577.44745, 803.24066), (1279.8613, 1269.5305)]
0.9066218;64;potted plant;rgb(34 62 52);[(1438.9204, 443.20078), (1538.9327, 630.94476)]
0.845202;62;chair;rgb(47 61 52);[(1219.479, 869.37744), (1358.0767, 1209.7206)]
0.7673591;62;chair;rgb(30 41 63);[(635.30023, 774.0622), (773.9046, 913.43915)]
0.69422305;51;bowl;rgb(86 124 69);[(993.8079, 818.104), (1139.5033, 874.0599)]
0.67005444;49;knife;rgb(105 43 38);[(111.98704, 677.28406), (121.403465, 699.0323)]
0.6551064;51;bowl;rgb(12 106 28);[(414.51987, 675.45685), (466.85065, 713.4515)]
0.6184014;81;sink;rgb(9 48 53);[(570.5745, 713.46906), (723.48145, 737.7379)]
0.55541414;62;chair;rgb(79 25 124);[(753.3905, 753.9664), (886.1798, 881.1082)]
0.55347025;49;knife;rgb(98 93 11);[(115.91184, 681.99335), (126.39951, 703.53796)]
0.54170674;49;knife;rgb(4 107 7);[(107.3161, 674.39667), (118.88114, 701.51385)]
0.5353174;67;dining table;rgb(119 78 34);[(687.14294, 788.0958), (1351.1338, 1013.00714)]
0.50272477;84;book;rgb(39 67 80);[(960.67834, 872.89795), (1220.2086, 976.4694)]
